0|GO|FAILED|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|1
0|GO|FAILED|STOPPED/NOT_MONITORED|OK|WEAK|OFF/NOT_MONITORED|1
0|GO|FAILED|STOPPED/NOT_MONITORED|OK|WEAK|ON|1
0|NO-GO|OPERATIONAL|IN_MOTION|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|6
0|NO-GO|OPERATIONAL|IN_MOTION|OK|OK/NOT_MONITORED|ON|19
0|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|484
0|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|ON|83
0|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|WEAK|OK/NOT_MONITORED|OFF/NOT_MONITORED|1
1|GO|OPERATIONAL|IN_MOTION|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|68
1|GO|OPERATIONAL|IN_MOTION|OK|OK/NOT_MONITORED|ON|12
1|GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|304
1|GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|ON|1692
1|GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|WEAK|ON|1
1|NO-GO|FAILED|IN_MOTION|OK|OK/NOT_MONITORED|ON|1
1|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|OFF/NOT_MONITORED|30
1|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|OK/NOT_MONITORED|ON|4
1|NO-GO|OPERATIONAL|STOPPED/NOT_MONITORED|OK|WEAK|OFF/NOT_MONITORED|1
