dir,ts,chain,block,addr,devbat,msgid,brake,disc_bits,valve,confirm,db_1,motion,l_batt,light,hex
"r2f","2022-04-10T10:09:59.850","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2e","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c2 a4 00 97 00 0b ab 8f"
"r2f","2022-04-10T10:09:59.851","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2e","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c2 a4 00 97 00 0b ab 8f"
"r2f","2022-04-10T10:09:59.853","ONLY","BASIC","18151","OK","ONEWAY","GO","80","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","9d d3 12 c0 30 23 73 8f"
"r2f","2022-04-10T10:09:59.854","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2e","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b5 ac e1 97 00 0b ab 8f"
"r2f","2022-04-10T10:09:59.855","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2e","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b5 ac e1 97 00 0b ab 8f"
"r2f","2022-04-10T10:09:59.866","ONLY","BASIC","18151","OK","ONEWAY","GO","80","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","9d d3 12 c0 30 23 73 8f"
"r2f","2022-04-10T10:09:59.933","ONLY","BASIC","18151","OK","ONEWAY","GO","82","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","bc 5d 12 c1 30 23 73 8f"
"r2f","2022-04-10T10:09:59.934","ONLY","BASIC","18151","OK","ONEWAY","GO","82","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","bc 5d 12 c1 30 23 73 8f"
"r2f","2022-04-10T10:09:59.947","ONLY","BASIC","18151","OK","ONEWAY","GO","82","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","bc 5d 12 c1 30 23 73 8f"
"r2f","2022-04-10T10:10:00.014","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c1 c0 41 98 00 0b a2 8f"
"r2f","2022-04-10T10:10:00.015","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","RESPONSE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c1 c0 41 98 00 0b a2 8f"
"r2f","2022-04-10T10:10:00.016","ONLY","BASIC","18151","OK","ONEWAY","GO","84","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","8d 14 12 c2 30 23 73 8f"
"r2f","2022-04-10T10:10:00.016","ONLY","BASIC","18151","OK","ONEWAY","GO","84","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","8d 14 12 c2 30 23 73 8f"
"r2f","2022-04-10T10:10:00.029","ONLY","BASIC","18151","OK","ONEWAY","GO","84","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","8d 14 12 c2 30 23 73 8f"
"r2f","2022-04-10T10:10:00.097","ONLY","BASIC","18151","OK","ONEWAY","GO","86","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","ac 9a 12 c3 30 23 73 8f"
"r2f","2022-04-10T10:10:00.098","ONLY","BASIC","18151","OK","ONEWAY","GO","86","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","ac 9a 12 c3 30 23 73 8f"
"r2f","2022-04-10T10:10:00.110","ONLY","BASIC","18151","OK","ONEWAY","GO","86","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","ac 9a 12 c3 30 23 73 8f"
"r2f","2022-04-10T10:10:00.122","ONLY","BASIC","18151","OK","ONEWAY","GO","88","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","95 b0 92 c4 30 23 73 8f"
"r2f","2022-04-10T10:10:00.122","ONLY","BASIC","18151","OK","ONEWAY","GO","88","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","95 b0 92 c4 30 23 73 8f"
"r2f","2022-04-10T10:10:00.134","ONLY","BASIC","18151","OK","ONEWAY","GO","88","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","95 b0 92 c4 30 23 73 8f"
"r2f","2022-04-10T10:10:00.138","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2a","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","9e 15 a0 95 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.139","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2a","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","9e 15 a0 95 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.175","ONLY","BASIC","18151","OK","ONEWAY","GO","8a","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b4 3e 92 c5 30 23 73 8f"
"r2f","2022-04-10T10:10:00.175","ONLY","BASIC","18151","OK","ONEWAY","GO","8a","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b4 3e 92 c5 30 23 73 8f"
"r2f","2022-04-10T10:10:00.187","ONLY","BASIC","18151","OK","ONEWAY","GO","8a","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b4 3e 92 c5 30 23 73 8f"
"r2f","2022-04-10T10:10:00.192","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b6 c8 a0 98 00 0b a2 8f"
"r2f","2022-04-10T10:10:00.193","ONLY","BASIC","5957","OK","ONEWAY","NO-GO","30","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","b6 c8 a0 98 00 0b a2 8f"
"r2f","2022-04-10T10:10:00.214","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2c","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","e3 2a 00 96 00 0b ab 8f"
"r2f","2022-04-10T10:10:00.215","ONLY","BASIC","5975","OK","ONEWAY","NO-GO","2c","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","e3 2a 00 96 00 0b ab 8f"
"r2f","2022-04-10T10:10:00.252","ONLY","BASIC","18151","OK","ONEWAY","GO","8c","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","85 77 92 c6 30 23 73 8f"
"r2f","2022-04-10T10:10:00.252","ONLY","BASIC","18151","OK","ONEWAY","GO","8c","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","85 77 92 c6 30 23 73 8f"
"r2f","2022-04-10T10:10:00.265","ONLY","BASIC","18151","OK","ONEWAY","GO","8c","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","05 77 92 c6 30 23 73 8f"
"r2f","2022-04-10T10:10:00.332","ONLY","BASIC","18151","OK","ONEWAY","GO","8e","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","a4 f9 92 c7 30 23 73 8f"
"r2f","2022-04-10T10:10:00.333","ONLY","BASIC","18151","OK","ONEWAY","GO","8e","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","a4 f9 92 c7 30 23 73 8f"
"r2f","2022-04-10T10:10:00.345","ONLY","BASIC","18151","OK","ONEWAY","GO","8e","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","24 f9 92 c7 30 23 73 8f"
"r2f","2022-04-10T10:10:00.363","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","fb 43 d2 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.364","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","fb 43 d2 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.368","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","16 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.369","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","16 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.376","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","7b 43 d2 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.403","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.404","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.410","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","16 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.411","ONLY","BASIC","18151","OK","ONEWAY","GO","90","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","99 e2 d2 c8 30 23 73 8f"
"r2f","2022-04-10T10:10:00.412","ONLY","BASIC","18151","OK","ONEWAY","GO","90","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","99 e2 d2 c8 30 23 73 8f"
"r2f","2022-04-10T10:10:00.416","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
